,case_number
951,49D08-2307-GU-026518
953,49D08-2310-GU-040407
957,12C01-2403-GU-000010
958,49D08-1904-GU-014432
969,10C01-2307-GU-000095
977,02D03-2309-GU-000293
980,02D03-2402-GU-000030
981,49D08-2309-GU-036216
983,49D08-2310-GU-041015
985,49D08-2301-GU-003244
1002,49D08-2305-GU-017883
1003,02D03-2307-GU-000215
1004,31C01-2306-GU-000025
1008,02D03-2306-GU-000172
1009,89D02-2404-GU-000045
1035,49D08-1901-GU-002439
1046,18C01-1901-GU-000006
1048,49D08-1906-GU-026405
1052,02D03-2312-GU-000349
1058,10C01-1908-GU-000112
1062,20D01-1908-GU-000163
1070,74C01-2309-GU-000033
1072,53C01-2303-GU-000024
1073,02D03-1907-GU-000144
1076,41D01-1905-GU-000085
1077,33C01-2305-GU-000031
1082,64D01-1905-GU-004978
1084,79C01-1906-GU-000057
1089,02D03-2308-GU-000249
1098,49D08-1908-GU-031066
1099,20C01-1901-GU-000004
1102,49D08-2312-GU-047012
1115,45C01-1805-GU-000078
1118,49D08-2306-GU-026029
1128,06D01-2308-GU-000056
1130,20D06-2308-GU-000097
1139,84D02-2305-GU-003000
1140,49D08-2311-GU-044367
1141,46D02-1611-GU-000133
1146,53C07-1907-GU-000096
1147,07C01-2301-GU-000001
1154,49D08-1902-GU-008036
1155,49D08-1905-GU-018310
1156,84D02-2303-GU-001517
1158,49D08-2301-GU-003890
1161,49D08-1903-GU-010776
1163,49D09-1608-GU-029944
1165,49D08-2308-GU-033673
1167,49D08-1905-GU-021122
1173,02D03-2308-GU-000256
1176,49D08-2212-GU-043387
1181,02D03-1901-GU-000014
1189,49D08-1908-GU-034499
1196,48C06-2402-GU-000098
1200,20D01-1901-GU-000002
1202,49D08-2403-GU-010004
1203,49D08-2307-GU-027527
1207,02D03-1907-GU-000124
1211,34D02-1901-GU-000006
1216,02D03-1908-GU-000153
1217,48C03-1903-GU-000150
1225,49D08-2304-GU-015393
1227,39C01-2309-GU-000059
1231,49D08-2305-GU-020259
1241,49D08-2303-GU-011133
1243,49D08-2306-GU-023015
1247,17C01-2305-GU-000018
1255,45D11-2403-GU-000072
1258,02D03-2305-GU-000133
1259,49D08-1910-GU-041869
1262,02D03-2307-GU-000236
1266,02D03-1907-GU-000123
1267,10C01-2305-GU-000055
1273,79C01-1902-GU-000018
1274,49D08-1906-GU-023724
1280,49D08-1901-GU-001256
1286,02D03-1909-GU-000181
1290,49D08-2301-GU-003896
1292,49D08-1907-GU-026471
1294,20C01-1903-GU-000035
1300,49D08-1905-GU-017764
1301,30D01-2301-GU-000003
1302,45D05-2001-GU-000038
1307,45D05-1901-GU-000024
1311,49D08-1904-GU-015124
1313,84D02-2309-GU-005743
1315,20C01-2302-GU-000022
1316,68C01-2402-GU-000018
1321,28C01-1906-GU-000017
1328,49D08-1909-GU-037070
1333,02D03-2211-GU-000329
1336,18C01-1912-GU-000169
1338,49D08-1905-GU-018879
1340,49D08-2402-GU-007831
1345,49D08-1901-GU-000035
1353,49D08-2303-GU-011080
1356,19C01-2401-GU-000005
1361,40C01-1902-GU-000010
1373,09C01-1902-GU-000010
1374,45C01-2311-GU-000301
1379,48C03-1909-GU-000544
1381,92C01-2310-GU-000018
1382,49D10-2304-GU-014065
1383,02D03-1904-GU-000058
1392,89C01-1908-GU-000099
1393,49D08-2309-GU-036630
1398,49D08-1905-GU-019102
1400,02D03-2306-GU-000182
1401,02D03-2211-GU-000337
1403,52D02-1901-GU-000003
1408,49D08-2310-GU-040994
1420,48C06-2310-GU-000532
1431,43D01-2303-GU-000004
1436,02D03-2312-GU-000345
1444,02D03-1901-GU-000013
1445,02D03-1902-GU-000023
1449,49D08-1904-GU-016979
1455,02D03-2310-GU-000303
1460,80C01-1908-GU-000023
1464,49D08-2401-GU-003148
1465,45D11-2402-GU-000058
1472,41D01-1909-GU-000175
1475,49D08-1904-GU-017312
1476,50C01-1908-GU-000044
1480,02D03-2304-GU-000101
1481,49D08-2311-GU-043203
1483,10C01-2308-GU-000099
1504,02D03-2402-GU-000047
1512,50C01-1904-GU-000020
1517,02D03-2308-GU-000259
1522,41D01-2006-GU-000097
1524,29D01-2401-GU-000013
1526,49D08-1910-GU-041741
1531,02D03-1905-GU-000089
1535,41D01-1712-GU-000188
1539,49D08-1902-GU-006047
1541,53C01-2312-GU-000191
1547,49D08-2402-GU-005411
1548,49D08-2402-GU-004441
1551,20C01-2212-GU-000202
1564,41D01-2304-GU-000053
1565,48C06-2402-GU-000088
1566,20D01-1901-GU-000013
