,case_number
3960,89C01-2403-GU-000039
3970,53C01-1907-GU-000090
3973,45D02-1901-GU-000004
3974,49D08-2309-GU-037302
3975,02D03-2307-GU-000222
3982,49D08-1906-GU-024908
3988,02D03-2310-GU-000301
3992,49D08-2311-GU-043059
3993,49D08-2303-GU-013556
3997,89D02-1902-GU-000016
3999,73C01-2002-GU-000003
4010,41D01-1909-GU-000164
4024,48C06-2307-GU-000356
4027,89D02-1906-GU-000072
4029,49D08-2304-GU-013669
4037,29D01-2307-GU-000114
4040,45D11-2301-GU-000017
4046,45D05-2010-GU-000229
4048,49D08-2302-GU-005358
4049,18C01-1910-GU-000139
4052,41D01-2303-GU-000040
4054,02D03-2308-GU-000260
4062,49D08-1909-GU-036443
4064,17D02-2304-GU-000015
4074,52D01-2302-GU-000006
4076,62C01-1905-GU-000009
4079,02D03-1905-GU-000087
4082,49D08-1903-GU-012443
4084,29D02-2304-GU-000062
4094,33C02-2306-GU-000045
4096,20C01-1904-GU-000081
4099,49D10-2301-GU-000518
4101,32D01-2306-GU-000070
4108,45C01-2308-GU-000214
4120,10C01-2311-GU-000131
4126,43C01-2206-GU-000030
4129,49D08-2310-GU-041514
4134,17D02-1901-GU-000002
4142,18C01-1912-GU-000168
4148,12C01-2302-GU-000007
4150,49D08-2304-GU-014590
4158,53C01-1803-GU-000034
4166,02D03-2402-GU-000043
4169,49D08-2403-GU-013199
4172,30C01-2303-GU-000013
4177,49D16-2308-GU-033667
4181,39C01-2304-GU-000023
4185,41D01-2303-GU-000046
4186,40C01-1903-GU-000017
4190,79C01-1901-GU-000004
4194,34D04-1901-GU-000007
4198,02D03-1907-GU-000126
4201,30C01-2304-GU-000027
4202,49D08-2311-GU-042706
4209,49D08-1903-GU-008619
4213,49D08-2309-GU-035389
4226,10C01-1909-GU-000137
4229,43D01-2306-GU-000018
4230,32D01-2311-GU-000125
4236,49D08-2302-GU-005393
4238,46C01-1907-GU-000071
4241,89D02-2301-GU-000005
4242,06D01-1906-GU-000030
4246,41D01-1903-GU-000040
4247,10C01-2302-GU-000019
4249,25C01-1903-GU-000015
4251,84D02-2309-GU-005742
4254,02D03-2211-GU-000339
4263,49D08-1909-GU-037573
4278,49D08-1909-GU-039430
4287,49D08-1902-GU-005050
4294,49D08-1907-GU-027146
4300,49D08-1901-GU-000924
4301,53C01-2402-GU-000019
4304,79C01-1904-GU-000033
4306,20D01-2304-GU-000050
4309,43D01-2303-GU-000003
4318,49D08-2309-GU-037131
4320,02D03-1907-GU-000128
4321,49D08-2305-GU-021831
4325,49D08-2306-GU-022097
4332,49D08-2308-GU-031512
4339,49D08-2305-GU-017563
4344,20D01-1908-GU-000153
4345,49D08-1908-GU-031484
4349,49D08-2311-GU-044409
4351,48C01-2311-GU-000535
4355,49D08-2307-GU-026522
4365,48C03-2306-GU-000336
4366,49D08-1903-GU-010584
4368,48C01-1903-GU-000146
4369,18C01-2002-GU-000007
4373,12C01-2305-GU-000020
4378,12C01-2304-GU-000012
4384,49D08-2308-GU-031571
4388,49D08-2304-GU-014514
4390,49D08-1902-GU-006653
4397,18C01-1907-GU-000098
4411,68C01-2303-GU-000027
4412,49D08-2308-GU-033647
4414,22C01-2304-GU-000044
4416,18C01-2004-GU-000040
4419,02D03-2301-GU-000027
4420,02D03-1903-GU-000046
4426,49D08-2303-GU-012634
4429,02D03-1906-GU-000108
4430,17D02-1711-GU-000054
4432,49D08-1905-GU-018752
4433,49D16-2309-GU-034543
4438,05C01-2301-GU-000001
4439,41D01-1909-GU-000159
4440,74C01-2305-GU-000018
4443,48C01-2306-GU-000293
4447,12C01-2303-GU-000009
4449,03C01-2304-GU-001718
4451,49D08-1909-GU-038890
4464,49D08-1902-GU-006633
4467,49D08-2303-GU-010798
4471,49D08-1903-GU-011104
4477,02D03-2402-GU-000046
4483,49D08-1906-GU-024564
4486,79C01-1905-GU-000046
4487,49D08-2310-GU-042256
4489,49D08-1902-GU-005470
4490,49D08-2301-GU-001480
4497,65D01-2305-GU-000010
4526,63C01-1906-GU-000013
4527,49D08-2308-GU-030552
4532,30D01-2301-GU-000004
4538,49D08-1903-GU-011960
4543,20C01-1906-GU-000124
4546,49D08-1901-GU-001305
4548,02D03-2307-GU-000226
4553,49D08-1904-GU-015645
4571,49D08-1901-GU-003663
4575,45C01-1906-GU-000176
4577,49D08-2301-GU-001959
4582,49D08-2303-GU-012951
4584,18C01-1902-GU-000033
4585,48C03-2305-GU-000231
4593,43D01-2310-GU-000057
4595,32D01-1906-GU-000077
4602,02D03-2303-GU-000061
4604,49D08-2311-GU-042964
4608,53C01-2311-GU-000185
4613,49D08-2401-GU-002444
4623,24C01-2310-GU-000571
4624,62C01-1905-GU-000008
4625,49D08-1906-GU-025473
4632,76C01-1902-GU-000002
4637,02D03-2401-GU-000015
4639,62C01-1906-GU-000014
4640,34C01-1903-GU-000027
4643,47C01-2311-GU-000074
4646,49D08-2401-GU-000737
4653,48C03-2401-GU-000061
4660,49D08-1906-GU-023114
4661,53C01-1904-GU-000038
4662,22C01-2309-GU-000085
4669,02D03-2311-GU-000329
4670,49D08-1908-GU-034879
4673,02D03-2309-GU-000272
4676,49D08-1909-GU-038301
4694,49D15-2310-GU-040385
4695,53C01-2301-GU-000015
4696,29D02-2310-GU-000180
4699,49D08-2307-GU-028094
4700,32D01-1906-GU-000072
4701,49D08-1906-GU-023115
4703,46C01-2306-GU-000059
4706,49D08-2307-GU-029882
4711,49D08-1909-GU-037684
4717,18C01-2301-GU-000012
4718,49D08-1901-GU-002650
4722,M86GN-17
4723,17C01-2304-GU-000017
4728,02D03-2309-GU-000298
4731,65D01-1905-GU-000014
4733,49D08-2308-GU-030645
4735,45D05-1712-GU-000022
4742,49D08-1906-GU-025813
4745,10C01-2303-GU-000038
4750,41D01-1904-GU-000062
4758,49D08-1901-GU-001267
4760,49D08-1901-GU-000929
4766,41D01-1909-GU-000157
4770,20D01-2302-GU-000018
4778,49D08-2310-GU-040122
4781,48C01-2403-GU-000117
4782,70C01-2401-GU-000002
4785,02D03-2308-GU-000258
4786,34D04-1902-GU-000022
4788,47C01-2304-GU-000031
4790,49D08-2401-GU-000985
4792,34D01-1904-GU-000053
4793,02D03-1901-GU-000011
4797,18C01-1906-GU-000079
4800,49D08-2308-GU-032159
4804,12C01-1904-GU-000019
4805,62C01-2004-GU-000006
4807,43D01-2309-GU-000046
4810,91C01-2305-GU-000015
4811,06D01-2309-GU-000062
4812,49D08-1901-GU-000185
4820,77D01-1902-GU-000001
4823,80C01-1904-GU-000006
4829,47C01-1806-GU-000057
4833,02D03-2311-GU-000323
4839,49D08-2305-GU-017774
4841,34D04-1904-GU-000062
4847,53C01-1909-GU-000132
4848,02D03-2309-GU-000279
4850,02D03-2311-GU-000322
4857,41D01-1907-GU-000123
4862,02D03-2306-GU-000174
4863,41D01-2303-GU-000042
4874,49D08-2301-GU-001489
4875,49D08-2308-GU-030799
4878,23C01-1907-GU-000027
4880,41D01-2312-GU-000193
4882,79C01-1906-GU-000059
4884,40C01-1901-GU-000001
4886,49D08-1903-GU-011958
4887,18C01-1906-GU-000087
4890,50C01-1907-GU-000040
4891,20C01-1901-GU-000015
4893,80C01-1904-GU-000011
4895,70D01-2309-GU-000017
4898,29D01-2309-GU-000163
4900,02D03-1907-GU-000138
4905,49D08-1903-GU-010639
4907,02D03-1909-GU-000177
4909,31C01-1902-GU-000004
4913,46D01-1901-GU-000004
4915,47C01-2305-GU-000039
4922,41D01-2308-GU-000127
4933,41D01-1903-GU-000039
4942,32D01-1806-GU-000054
4948,49D08-2402-GU-007832
4949,49D08-1906-GU-024628
4952,20D01-1905-GU-000114
4967,49D08-2301-GU-001536
4975,49D08-2306-GU-024979
4977,50C01-1905-GU-000027
4982,10C01-2310-GU-000120
4993,12C01-1905-GU-000024
4999,18C01-2002-GU-000009
5003,50C01-2305-GU-000027
5008,20D01-1901-GU-000001
5012,49D08-1901-GU-003890
5014,02D03-2401-GU-000021
5021,49D08-1904-GU-017475
5045,62C01-2310-GU-000050
5046,49D08-2311-GU-044522
5047,49D08-2301-GU-001673
5049,49D08-1907-GU-028736
5050,69C01-1905-GU-000031
5063,20D01-1903-GU-000042
5067,48C06-1907-GU-000412
5070,02D03-1904-GU-000068
5078,02D03-1904-GU-000059
5081,47C01-1904-GU-000023
5090,02D03-2307-GU-000228
5091,48C01-2308-GU-000394
5096,52C01-2302-GU-000005
5097,49D08-1803-GU-010785
5098,73C01-2307-GU-000028
5101,19C01-2312-GU-000040
5104,49D08-2310-GU-040885
5107,50C01-1910-GU-000049
5111,20D01-1712-GU-000156
5120,24C02-1909-GU-000646
5121,49D08-1906-GU-022745
5123,49D08-2301-GU-002579
5126,79C01-1903-GU-000029
5127,20D06-2311-GU-000145
5129,43D01-2403-GU-000019
5137,49D08-1909-GU-037059
5138,41D01-1903-GU-000056
5151,49D08-2309-GU-036315
5154,49D08-1907-GU-026674
5158,27D03-1903-GU-000026
5166,49D08-2306-GU-025983
5168,49D08-1907-GU-027230
5170,41D01-1903-GU-000051
5181,60C01-2311-GU-000014
5184,49D08-2310-GU-039246
5187,79C01-1902-GU-000015
5188,49D08-1908-GU-032866
5191,73C01-2402-GU-000005
5194,36C01-1901-GU-000005
5210,50C01-2301-GU-000004
5214,53C01-1906-GU-000078
5223,02D03-1903-GU-000051
5224,19C01-2306-GU-000014
5225,02D03-1907-GU-000122
5230,49D08-2306-GU-023094
5231,49D08-2304-GU-015938
5235,20C01-2308-GU-000108
5239,41D01-2312-GU-000190
5255,48C03-2311-GU-000580
5259,49D08-2301-GU-002457
5265,33C01-1906-GU-000032
5267,49D14-2309-GU-034543
5268,49D08-1907-GU-028687
5269,49D08-1908-GU-032347
5272,49D08-1905-GU-018915
5275,48C03-1906-GU-000349
5280,02D03-2309-GU-000280
5281,55D02-2401-GU-000001
5283,49D08-2312-GU-048815
5287,49D08-1906-GU-025868
5288,24C01-2401-GU-000071
5289,49D08-2308-GU-030647
5290,18C01-1901-GU-000014
5294,53C01-2301-GU-000011
5306,89D01-1908-GU-000098
5307,12C01-1808-GU-000038
5309,02D03-2305-GU-000129
5310,49D08-1908-GU-035029
5313,32D01-2302-GU-000030
5322,41D01-1902-GU-000023
5326,02D03-2305-GU-000146
5327,20C01-1904-GU-000077
5328,54D01-1901-GU-000001
5329,73C01-2308-GU-000033
5331,49D08-2308-GU-031477
5342,49D08-1902-GU-007303
5349,89C01-1902-GU-000012
5351,46D01-2202-GU-000011
5352,20D01-1907-GU-000145
5355,02D03-1905-GU-000090
5358,52D02-2303-GU-000016
5362,59C01-2302-GU-000018
5363,49D08-2310-GU-040385
5364,45C01-1809-GU-000221
5369,02D03-1906-GU-000114
5378,89C01-1905-GU-000059
5393,32D01-1904-GU-000054
5396,49D08-2305-GU-021144
5408,02D03-2306-GU-000160
5410,20C01-2302-GU-000015
5413,49D08-2312-GU-047220
5423,49D08-2308-GU-033555
5429,49D08-2304-GU-017083
5430,49D08-1906-GU-024304
5432,52D02-1901-GU-000001
5433,49D08-2212-GU-043531
5434,41D01-2310-GU-000163
5437,45C01-2312-GU-000315
5438,49D08-2307-GU-029934
5441,79C01-1902-GU-000019
5467,20C01-1907-GU-000132
5469,73C01-2312-GU-000064
5477,52D01-2308-GU-000037
5480,32D01-2312-GU-000141
5493,45D05-1808-GU-000184
5497,49D08-2305-GU-017882
5498,75C01-2302-GU-000002
5500,49D10-2302-GU-007027
5502,45C01-2403-GU-000065
5506,49D08-1907-GU-028825
5521,78C01-2311-GU-000020
5522,49D08-1904-GU-013678
5528,49D08-1908-GU-032963
5539,34D04-1907-GU-000099
5540,02D03-2312-GU-000334
5541,74C01-2303-GU-000010
5542,18C01-1905-GU-000069
5545,49D08-1904-GU-012962
5551,49D08-2303-GU-010517
5553,45D05-2303-GU-000054
5559,19C01-2307-GU-000016
5562,18C01-1910-GU-000152
5569,49D08-2310-GU-038606
5570,02D03-1909-GU-000169
5574,49D08-2306-GU-025430
5577,20D01-2305-GU-000057
5578,49D08-1907-GU-030340
5580,20C01-1901-GU-000014
5586,12C01-2402-GU-000009
5593,49D08-2306-GU-023129
5611,89C01-1905-GU-000064
5613,49D08-2312-GU-048907
5618,49D08-2307-GU-030000
5626,49D08-1906-GU-023982
5629,49D08-2212-GU-043555
5635,49D08-2312-GU-048714
5639,49D15-2105-GU-016461
5640,02D03-2307-GU-000213
5643,18C01-1912-GU-000175
5648,02D03-2309-GU-000295
5652,65D01-2212-GU-000029
5655,73D01-2311-GU-000057
5660,33C01-1908-GU-000048
5663,49D08-2304-GU-017421
5665,20C01-1907-GU-000136
5671,29D03-1903-GU-000043
5674,27C01-2402-GU-000009
5675,49D08-2211-GU-038748
5676,45D02-1901-GU-000012
5681,53C01-1906-GU-000079
5689,02D03-2308-GU-000247
5692,32D01-2301-GU-000018
5693,89D02-1902-GU-000018
5695,49D08-1903-GU-011770
5696,89D01-1901-GU-000001
5701,20D01-1901-GU-000017
5703,49D08-1808-GU-032541
5705,24C01-2306-GU-000300
5722,49D08-1903-GU-009020
5726,50C01-1902-GU-000008
5727,49D08-1908-GU-032795
5729,49D08-2308-GU-032802
5739,52D02-1901-GU-000005
5745,49D08-1909-GU-037402
5754,56C01-2307-GU-000694
5755,49D08-1909-GU-039527
5761,49D08-1904-GU-014789
5769,49D08-2307-GU-028973
5774,84D03-2303-GU-001518
5791,50C01-2304-GU-000024
5792,45D02-1806-GU-000103
5793,53C01-2307-GU-000116
5796,24C01-2301-GU-000059
5798,02D03-2311-GU-000318
5799,02D03-2306-GU-000163
5801,18C01-1904-GU-000048
5805,49D08-2306-GU-023107
5808,30D01-2401-GU-000013
5813,49D08-1910-GU-042220
5816,20D01-1905-GU-000088
5817,49D08-2312-GU-047054
5823,49D08-2302-GU-004675
5824,45D05-2212-GU-000331
5834,49D08-2308-GU-031483
5836,49D08-2212-GU-042937
5837,49D08-2303-GU-012250
5842,49D08-1904-GU-013870
5844,48C03-2310-GU-000511
5851,45D02-1806-GU-000100
5858,02D03-2311-GU-000320
5862,02D03-2307-GU-000199
5863,48C01-2303-GU-000108
5866,41D01-1903-GU-000048
5867,49D08-1906-GU-023439
5875,49D08-1908-GU-031511
5877,02D03-1904-GU-000064
5882,02D03-2301-GU-000026
5883,48C03-2308-GU-000387
5889,49D08-1904-GU-016506
5890,02D03-1902-GU-000025
5892,49D08-2304-GU-014092
5896,53C01-2309-GU-000156
5899,60C01-1904-GU-000012
5902,49D08-1803-GU-012403
5903,49D08-2303-GU-012621
5907,48C03-1810-GU-000516
5918,45D02-1905-GU-000127
5919,02D03-2401-GU-000014
5922,49D08-2310-GU-039907
5925,18C01-2304-GU-000037
5927,23C01-2312-GU-000026
5928,07C01-2006-GU-000013
5929,49D08-1909-GU-038671
5932,49D08-2307-GU-029550
5940,05C01-1904-GU-000009
5947,67C01-1902-GU-000009
5948,03D02-2309-GU-004616
5949,02D03-1908-GU-000147
5951,32D01-1901-GU-000005
5956,12C01-2304-GU-000013
5958,30D01-2302-GU-000010
5959,49D08-2306-GU-025292
5965,53C01-1903-GU-000022
5966,49D08-2310-GU-038813
5967,35C01-1605-GU-000011
5972,45C01-2309-GU-000250
5976,45C01-2311-GU-000300
5979,49D08-1902-GU-006602
5981,49D08-2306-GU-023346
5983,49D08-1907-GU-028735
5985,49D08-2302-GU-006321
5986,49D08-2312-GU-046973
5988,02D03-2401-GU-000018
5998,49D08-2311-GU-044739
6006,02D03-2308-GU-000266
6007,49D08-1903-GU-012513
6018,73C01-2401-GU-000004
6021,48C01-2307-GU-000381
6025,46C01-2312-GU-000145
6029,02D03-2308-GU-000251
6038,49D08-2305-GU-020002
6040,48C06-2401-GU-000037
6049,02D03-2305-GU-000153
6050,49D08-1907-GU-029226
6052,02D03-1905-GU-000101
6063,49D08-1903-GU-009840
6064,49D08-1906-GU-023208
6065,49D08-1905-GU-017894
6073,50C01-1904-GU-000019
6076,43C01-2310-GU-000060
6077,50C01-1903-GU-000011
6080,49D08-1907-GU-029478
6081,49D08-1906-GU-024504
6088,49D08-2312-GU-047599
6090,76C01-1903-GU-000011
6094,41D01-2308-GU-000119
6103,49D08-1904-GU-015872
6108,49D08-1909-GU-039961
6110,02D03-2402-GU-000045
6119,02D03-2305-GU-000136
6131,18C01-1902-GU-000030
6135,88D01-2402-GU-000009
6137,29D01-2401-GU-000014
6147,49D16-2302-GU-004675
6148,47C01-2308-GU-000059
6150,84D01-2304-GU-001996
6153,10C018001GU000007
6159,02D03-2402-GU-000036
6160,41D01-2302-GU-000019
6162,49D08-1909-GU-037593
6170,49D08-2311-GU-044462
6171,49D08-2308-GU-030221
6172,40C01-1902-GU-000002
6181,48C01-1908-GU-000495
6187,45D11-2304-GU-000073
6191,49D08-2301-GU-003107
6195,30D01-2311-GU-000062
6196,49D08-2307-GU-027381
6198,62C01-1912-GU-000022
6199,49D08-1902-GU-007620
6204,48C06-1906-GU-000335
6205,66C01-1910-GU-000027
6212,02D03-2306-GU-000175
6215,32D01-1901-GU-000007
6216,02D03-1909-GU-000167
6218,49D08-2307-GU-027833
6225,53C01-1807-GU-000099
6231,49D16-2212-GU-043465
6242,12C01-2302-GU-000008
6243,49D08-1909-GU-039133
6248,49D08-2312-GU-047608
6249,45D11-2301-GU-000013
6254,49D09-2306-GU-022097
6257,49D08-2307-GU-027021
6264,49D08-2307-GU-028763
6265,20D01-1901-GU-000008
6267,02D03-2310-GU-000314
6269,49D08-2311-GU-043168
6276,20D01-1904-GU-000074
6281,28C01-1611-GU-000040
6290,43D01-2301-GU-000001
6294,59C01-2302-GU-000025
6298,49D08-2403-GU-009307
6301,12C01-2401-GU-000002
6308,49D08-1904-GU-012951
6311,49D08-2302-GU-004799
6317,49D08-2305-GU-020254
6322,49D08-1904-GU-014335
6325,91C01-1906-GU-000018
6326,12C01-2307-GU-000026
6330,49D08-2212-GU-042571
6332,53C01-2305-GU-000066
6333,32D01-1902-GU-000020
6336,02D03-2302-GU-000055
6344,03D02-1902-GU-000793
6346,49D08-1902-GU-006627
6348,47C01-1901-GU-000009
6353,74C01-2304-GU-000017
6355,79C01-1908-GU-000086
6357,02D03-2305-GU-000130
6363,49D08-2309-GU-034619
6365,02D03-2403-GU-000067
6366,33C02-2309-GU-000064
6367,02D03-2307-GU-000214
6375,45D02-1901-GU-000016
6384,30C01-2401-GU-000001
6389,49D08-2401-GU-001009
6391,45D05-2206-GU-000170
6392,02D03-1903-GU-000043
6395,84D03-2402-GU-001165
6397,54D01-1609-GU-000049
6401,02D03-2302-GU-000053
6402,49D08-1904-GU-016981
6410,53C01-1901-GU-000007
6411,02D03-2401-GU-000024
6416,49D08-2308-GU-030530
6424,49D08-2309-GU-034672
6425,02D03-1905-GU-000082
6429,30C01-2303-GU-000012
6435,49D08-2301-GU-000392
6443,49D08-2305-GU-020263
6450,49D08-1907-GU-030349
6454,49D08-1904-GU-017498
6455,49D08-2312-GU-050423
6457,49D08-2311-GU-044481
6462,49D08-1901-GU-002110
6466,49D08-2303-GU-012211
6467,48C01-2306-GU-000335
6470,49D08-2311-GU-043402
6475,41D01-1901-GU-000022
6478,02D03-2305-GU-000132
6482,02D03-1903-GU-000036
6490,49D08-2304-GU-017007
6494,49D08-2302-GU-007027
6497,02D03-2301-GU-000009
6500,36C01-1901-GU-000012
6501,49D08-2311-GU-045332
6503,30C01-2403-GU-000020
6511,49D08-1905-GU-021063
6514,73C01-2303-GU-000007
6517,02D03-1904-GU-000060
6524,52D02-1902-GU-000007
6526,10C01-2401-GU-000006
6530,49D08-1906-GU-023191
6536,49D08-2311-GU-044742
6539,10C01-1905-GU-000073
6541,02D03-2307-GU-000206
6542,88C01-1909-GU-000033
6543,02D03-2303-GU-000088
6544,49D08-1904-GU-013923
6548,49D08-1910-GU-042239
6550,53C01-2304-GU-000056
6551,49D08-2309-GU-036840
6553,45C01-1805-GU-000079
6555,20D01-1906-GU-000119
6556,49D08-1907-GU-026784
6560,49D08-1902-GU-007526
6569,43D01-2305-GU-000016
6579,29D01-2308-GU-000140
6580,49D08-2305-GU-019203
6590,48C01-2305-GU-000259
6597,50C01-1903-GU-000009
6598,02D03-2305-GU-000140
6600,49D08-1901-GU-000247
6601,84D03-2305-GU-002903
6603,64D02-2303-GU-002879
6608,76C01-2308-GU-000018
6609,49D08-1901-GU-001129
6613,31C01-1904-GU-000010
6614,30D01-1909-GU-000055
6619,49D08-1908-GU-031092
6620,02D03-1909-GU-000176
6622,49D08-1903-GU-010267
6625,49D08-1906-GU-026019
6626,49D08-2211-GU-041154
6634,84D02-2211-GU-007022
6635,49D08-1909-GU-039569
6638,49D08-1902-GU-006560
6641,49D08-2402-GU-005410
6645,49D08-2212-GU-043743
6649,49D08-2305-GU-019421
6650,49D10-2308-GU-032748
6656,32D01-1805-GU-000046
6659,18C01-2301-GU-000009
6664,29D02-2404-GU-000058
6671,49D08-1903-GU-009277
6673,49D08-2306-GU-024604
6676,02D03-2308-GU-000262
6678,02D03-2307-GU-000216
6686,47C01-1905-GU-000029
6690,30C01-2210-GU-000068
6701,32D01-1902-GU-000015
6702,48C03-2309-GU-000480
6706,48C06-2309-GU-000454
6707,49D08-2309-GU-036851
6711,48C01-2312-GU-000599
6713,33C01-1906-GU-000037
6719,30C01-2311-GU-000070
6731,48C03-2308-GU-000417
6734,53C01-2311-GU-000182
6739,02D03-2401-GU-000011
6746,02D03-2302-GU-000043
6751,52C01-2311-GU-000044
6760,45D05-1907-GU-000189
6762,80C01-1908-GU-000022
6769,49D08-2312-GU-046803
6774,03C01-2306-GU-003329
6776,62C01-1908-GU-000016
6782,49D08-1906-GU-025798
6786,02D03-2310-GU-000313
6791,41D01-2401-GU-000001
6793,02D03-2306-GU-000192
6797,72C01-2301-GU-000002
6798,02D03-2311-GU-000324
6800,49D08-2307-GU-026707
6813,45C01-1901-GU-000009
6816,49D08-2307-GU-028031
6818,49D08-1907-GU-029479
6826,49D08-2302-GU-006961
6828,49D08-2402-GU-004666
6834,53C01-1908-GU-000114
6838,49D08-1906-GU-023745
6840,88D01-2402-GU-000008
6844,20C01-1902-GU-000028
6847,53C01-2404-GU-000046
6854,50C01-2309-GU-000044
6858,88C01-1907-GU-000028
6863,43D01-2307-GU-000036
6864,49D08-1906-GU-025741
6865,02D03-1906-GU-000112
6868,45D05-1908-GU-000233
6869,49D08-1909-GU-038556
6871,49D08-2305-GU-020359
6872,49D08-1901-GU-001744
6876,85C01-2312-GU-000035
6885,24C01-2311-GU-000650
6890,49D08-1905-GU-020139
6893,49D14-2306-GU-026035
6898,28C01-1608-GU-000019
6899,49D08-1903-GU-011198
6903,02D03-2309-GU-000274
6904,49D08-2308-GU-031749
6906,34D02-1903-GU-000040
6909,45D02-1805-GU-000071
6911,84D03-1909-GU-006558
6917,27D03-2305-GU-000036
6918,49D08-2212-GU-041915
6919,49D08-1902-GU-005720
6929,46C01-1908-GU-000078
6930,49D08-2305-GU-019176
6939,48C03-1906-GU-000348
6942,49D08-1907-GU-028738
6943,49D08-2307-GU-028971
6946,73C01-2301-GU-000002
6962,82D04-1909-GU-000532
6963,82D04-2304-GU-000200
6968,45C01-2301-GU-000020
6971,49D15-2104-GU-013243
6972,48C01-2307-GU-000340
6976,49D08-2303-GU-009744
6977,07C01-1712-GU-000028
6984,32D01-1903-GU-000032
6985,49D08-1902-GU-005872
6989,02D03-2301-GU-000007
6992,12C01-2312-GU-000046
7001,65D01-2304-GU-000007
7002,48C06-2403-GU-000142
7015,49D08-2307-GU-026496
7019,49D08-1903-GU-011018
7020,02D03-2305-GU-000128
7023,21D01-1904-GU-000015
7024,50C01-1803-GU-000015
7026,49D08-2312-GU-047013
7031,29D01-2401-GU-000006
7037,65D01-2310-GU-000018
7038,53C01-2303-GU-000044
7041,49D08-2212-GU-043617
7043,41D01-1903-GU-000047
7046,17D02-1907-GU-000025
7048,49D08-2309-GU-036650
7056,48C01-1901-GU-000007
7059,49D08-2312-GU-046491
7064,05D01-1902-GU-000004
7067,28C01-2301-GU-000001
7075,22C01-2311-GU-000103
7083,49D08-2305-GU-020260
7085,20C01-1905-GU-000105
7086,49D08-1905-GU-019098
7087,49D08-2309-GU-035240
7089,53C04-2305-GU-000070
7090,41D01-1903-GU-000058
7096,22C01-2309-GU-000087
7098,49D08-2308-GU-033667
7104,77C01-1903-GU-000014
7111,49D08-2308-GU-033448
7117,49D08-2403-GU-010120
7124,49D08-1908-GU-031109
7128,48C03-2312-GU-000626
7138,49D08-1903-GU-012763
7140,77C01-9707-GU-000016
7141,30C01-2403-GU-000024
7142,41D01-1903-GU-000042
7145,49D08-1903-GU-008951
7151,49D08-2211-GU-040599
7165,02D03-2401-GU-000027
7167,49D08-1909-GU-040001
7178,33C02-1908-GU-000051
7185,49D08-1811-GU-047486
7189,88D01-2308-GU-000040
7190,79C01-1903-GU-000024
7192,02D03-1906-GU-000106
7194,49D08-2307-GU-026580
7195,49D08-1905-GU-020246
7207,03D01-1610-GU-005671
7208,47C01-1910-GU-000074
7213,49D08-1901-GU-002665
7217,53C01-2304-GU-000051
7219,41D01-2305-GU-000073
7226,73C01-2401-GU-000002
7227,49D08-2307-GU-029774
7230,77C01-1902-GU-000001
7231,49D08-2311-GU-046048
7247,22C01-2306-GU-000063
7253,29D01-2312-GU-000220
7257,02D03-2308-GU-000248
7261,02D03-2303-GU-000072
7263,49D08-2310-GU-039913
7268,53C01-2311-GU-000178
7269,02D03-2212-GU-000348
7275,41D01-2301-GU-000002
7280,32D01-1906-GU-000084
7288,49D08-2305-GU-018490
7290,02D03-1907-GU-000134
7292,52C01-2402-GU-000008
7293,34D02-1901-GU-000001
7294,05C01-1910-GU-000011
7301,49D08-1903-GU-008336
7303,40C01-2301-GU-000001
7304,02D03-1905-GU-000079
7320,02D03-2302-GU-000041
7322,49D08-1910-GU-042160
7324,49D08-2401-GU-002586
7329,65D01-2308-GU-000015
7330,49D08-2310-GU-041242
7333,20C01-2010-GU-000140
7343,49D08-1905-GU-018295
7350,02D03-2212-GU-000350
7356,47C01-2401-GU-000003
7357,30D01-2302-GU-000009
7374,10C01-1909-GU-000138
7384,29D01-2402-GU-000026
7386,49D08-2306-GU-022694
7394,02D03-2303-GU-000063
7402,32D01-1904-GU-000056
7410,28C01-1608-GU-000021
7415,49D08-1905-GU-022068
7416,84D02-2309-GU-006090
7418,80C01-1903-GU-000003
7426,45D11-2310-GU-000260
7427,52C01-1909-GU-000039
7429,05C01-1901-GU-000001
7435,49D08-1907-GU-027219
7438,49D08-2308-GU-032409
7440,49D08-2401-GU-000059
7444,45D05-1905-GU-000119
7466,79C01-1903-GU-000031
7474,28C01-2306-GU-000021
7475,33C01-1909-GU-000055
7477,49D08-1902-GU-008204
7497,20D01-1909-GU-000169
7501,27D03-1908-GU-000060
7503,49D08-2308-GU-033533
7506,30C01-2307-GU-000051
7509,02D03-1907-GU-000137
7510,49D05-1904-GU-017471
7515,49D08-2306-GU-023050
7518,49D08-2309-GU-034825
7520,53C01-2402-GU-000021
7526,82D04-2310-GU-000567
7528,49D08-1802-GU-005741
7529,20D01-2302-GU-000013
7537,49D08-2304-GU-014782
7539,89C01-1908-GU-000097
7543,45D11-1901-GU-000021
7544,33C02-1908-GU-000050
7554,18C01-1901-GU-000013
7583,49D08-1901-GU-000826
7585,49D08-2212-GU-042566
7590,60C01-1902-GU-000003
7593,43D01-2311-GU-000061
7595,73C01-1911-GU-000076
7613,49D08-1905-GU-019752
7615,07C01-1912-GU-000038
7623,29D03-2306-GU-000108
7624,34D04-1901-GU-000002
7626,10C01-1907-GU-000100
7628,12C01-1902-GU-000003
7639,28C01-2212-GU-000043
7643,24C01-1901-GU-000047
7644,48C03-1903-GU-000140
7647,49D08-2310-GU-039301
7648,49D08-2304-GU-016659
7658,02D03-1905-GU-000085
