,docket_event_description,count,case_examples
126,Order Granting Motion for Hearing,78,18c01-2011-gu-000118; 15c01-1708-gu-000033; 88c01-1705-gu-000022; 45d02-1905-gu-000146; 45c01-1806-gu-000094; 10c04-1707-gu-000104; 20d01-1701-gu-000009; 45d02-1808-gu-000186; 45d02-1811-gu-000284
136,Order Granting Motion to Sell Personal Property,66,49d08-1907-gu-028182; 49d08-2006-gu-018194; 53c07-1803-gu-000033; 49d08-1604-gu-012077; 49d08-1702-gu-008052; 02d03-2001-gu-000014; 80c01-1908-gu-000023; 02d01-1609-gu-000217; 31c01-1610-gu-000045
138,Order Granting Motion for Appointment Successor,63,27d03-1605-gu-000024; 02d03-1609-gu-000230; 33c01-1701-gu-000001; 25c01-7810-gu-000019; 49d08-1711-gu-042768; 02d03-1812-gu-000330; 40c01-1801-gu-000009; 53c01-1807-gu-000101; 49d08-1906-gu-022867
141,Court Reviews Magistrate's Findings; Court Approves,52,49d08-1809-gu-038559; 49d08-1811-gu-044763; 49d08-1809-gu-037744; 49d08-1810-gu-041103; 49d08-1812-gu-048984; 49d08-1810-gu-039760; 49d08-1808-gu-032540; 49d08-1807-gu-026490; 49d08-1905-gu-019102
150,Order Granting Motion for Appointment,46,82d04-1609-gu-000496; 15c01-1704-gu-000013; 45d05-1907-gu-000189; 42c01-1701-gu-000003; 89d02-1809-gu-000085; 59c01-1706-gu-000034; 18c01-1906-gu-000079; 18c01-1906-gu-000085; 37c01-1608-gu-000643
151,Order Granting Agreement of Parties,45,22c01-1704-gu-000034; 49d08-1706-gu-023009; 20d01-1901-gu-000013; 33c01-1908-gu-000048; 33c01-1906-gu-000032; 34d02-1810-gu-000072; 31c01-1911-gu-000038; 49d08-1712-gu-044650
163,Order Granting Motion for Change of Venue,34,53c01-2011-gu-000133; 20c01-2007-gu-000092; 32d01-1906-gu-000084; 49d08-1912-gu-051883; 49d08-1609-gu-034090; 77c01-1805-gu-000023; 49d08-1611-gu-042179; 52d01-1604-gu-000003; 49d08-1703-gu-009805
167,Order Granting Motion to Intervene,33,09c01-1712-gu-000055; 76c01-1807-gu-000025; 20d01-1810-gu-000222; 49d08-1905-gu-018915; 10c04-1607-gu-000108; 49d08-0606-gu-022989; 49d08-1611-gu-040162; 76c01-1807-gu-000026; 49d08-1602-gu-005294
171,Order Granting Motion for Transfer of Case,32,49d08-2012-gu-045061; 45c01-1806-gu-000094; 09c01-1902-gu-000010; 49d08-1909-gu-038890; 49d08-1806-gu-024303; 49d08-1711-gu-041172; 33c01-1909-gu-000058
174,Order Granting Motion to Compromise and Settle Claim,32,49d08-1612-gu-045108; 50c01-1609-gu-000045; 20c01-1810-gu-000234; 49d08-1812-gu-050367; 02d03-2008-gu-000188; 49d08-1609-gu-033218; 28c01-1801-gu-000002; 49d08-1705-gu-020694; 49d08-1702-gu-006000
192,Order Approving Report of Sale of Real Estate,27,28c01-1707-gu-000029; 41d01-1705-gu-000067; 46d01-1912-gu-000111; 40c01-1606-gu-000020; 41d01-1902-gu-000023; 76c01-1608-gu-000028; 88c01-1605-gu-000029; 18c01-2009-gu-000096
194,Order Granting Motion to Release Funds,26,49d08-1809-gu-035718; 49d08-1710-gu-040353; 53c07-1807-gu-000093; 45c01-1807-gu-000136; 45c01-1809-gu-000221; 49d08-2012-gu-045040; 49d08-1901-gu-000924; 49d08-1602-gu-005113
201,Order Approving Interim Accounting,19,49d08-1710-gu-040353; 49d08-1906-gu-026162; 22c01-1605-gu-000039; 49d08-1601-gu-003468; 49d08-1706-gu-023009; 49d08-1602-gu-006337; 80c01-1604-gu-000011
237,Order Granting Motion for Change of Judge,10,49d08-1906-gu-022867; 55d03-1903-gu-000017; 49d04-1605-gu-015747; 49d05-1904-gu-017471; 65c01-1703-gu-000005; 88c01-1607-gu-000043; 77c01-1805-gu-000023
238,Order Granting Motion to Remove Guardian,10,10c01-1612-gu-000191; 49d08-1804-gu-013870; 41d01-1909-gu-000175; 49d08-1607-gu-025134; 76c01-1602-gu-000009
242,Order Granting Motion to Compel Discovery,9,18c01-1811-gu-000140; 55d02-1601-gu-000006; 82d04-1602-gu-000067; 20d01-1902-gu-000029; 49d08-1705-gu-020694; 82d04-1602-gu-000068
243,Order Granting Motion to Correct Error,9,46d01-1901-gu-000004; 49d08-1708-gu-031445; 64d01-1705-gu-004711; 49d08-1603-gu-010254; 49d08-1710-gu-040353; 49d08-1710-gu-040348
247,Order Granting Motion for Nunc Pro Tunc Entry,8,49d08-1905-gu-019102; 76c01-1807-gu-000026; 33c01-2005-gu-000028; 10c01-1709-gu-000131; 46d01-1904-gu-000037; 76c01-1807-gu-000025
261,Order Granting Motion for Leave to Amend,7,20d01-1609-gu-000136; 49d08-1901-gu-001314; 49d08-1806-gu-024699; 49d08-1610-gu-037281; 49d08-1810-gu-042840; 73c01-1703-gu-000015
262,Order Granting Petition for Appt of Personal Representative,7,49d08-1910-gu-043128; 84d03-2012-gu-006763; 18c01-1705-gu-000039; 82d04-1705-gu-000273; 18c01-1610-gu-000111; 49d08-1711-gu-041172; 49d08-1907-gu-030691
265,Order Granting Motion to Substitute Party,6,03d01-1610-gu-005671; 49d08-2007-gu-021928; 30d01-1909-gu-000055; 45d02-1806-gu-000123; 45d02-1806-gu-000098; 33c02-1607-gu-000029
271,Order Granting Motion to Consolidate,6,49d08-1710-gu-040353; 49d08-1711-gu-042768; 49d04-1605-gu-015747; 49d08-1603-gu-008392; 80c01-1904-gu-000007
